FREQUENT ITEMSET =====>  OCCORRENZE
💪  ========>  24
8  ========>  8
🙆  ========>  35
💛  ========>  7
😍  ========>  25
😩  ========>  13
💁  ========>  9
😔  ========>  9
😐  ========>  9
👌  ========>  13
😏  ========>  9
:  ========>  24
👀  ========>  8
💜  ========>  36
/  ========>  23
🙍  ========>  34
🌎  ========>  34
😂  ========>  47
🙏  ========>  45
😊  ========>  20
❤  ========>  21
😭  ========>  60
😳  ========>  7
♥  ========>  15
😴  ========>  7
♡  ========>  11
👑  ========>  15
💙  ========>  9
2  ========>  44
😘  ========>  11
4  ========>  27
◀  ========>  12
▶  ========>  12
5  ========>  21
👍  ========>  7
è  ========>  16
😒  ========>  11
✌  ========>  14
1  ========>  23
3  ========>  28
6  ========>  10
😉  ========>  8
('world', '🌎')  ========>  35
('happy', 'yourself!')  ========>  25
('today', 'wind')  ========>  18
('life', 'queen')  ========>  9
(':)', 'life')  ========>  9
('song!', 'year,')  ========>  25
:(  ========>  9
('2015', 'vote')  ========>  28
('@madisonellebeer', 'follow')  ========>  13
('http://t.co/1domayesip', 'shop')  ========>  14
😂😂  ========>  27
('0.0', 'mph')  ========>  7
('http://t.co/8tttpri3ag', '👉abraham')  ========>  18
tv  ========>  9
('hpa,', 'rain')  ========>  9
('follow', '◀')  ========>  13
ur  ========>  22
('idol', 'killing')  ========>  19
si  ========>  10
('(@alejandradextre)', 'pls')  ========>  8
('#jobs', '#nursing')  ========>  7
('know,', 'miles')  ========>  13
('#viña2015', 'mateo')  ========>  18
('mateo', '👉abraham')  ========>  18
('knowing?', 'me?')  ========>  13
('hpa,', 'temperature')  ========>  7
('follow', 'u.')  ========>  13
('fantastically', 'well!')  ========>  8
('idol', 'me♥')  ========>  9
('barometer', 'hpa,')  ========>  7
('in.', 'today')  ========>  7
('#viña2015', '👉abraham')  ========>  18
(@  ========>  17
('in.', 'mph')  ========>  7
('harassed', 'relentlessly')  ========>  8
('#retail', '#tweetmyjobs')  ========>  8
('ignore', '🙍')  ========>  35
('humbly', 'stealing')  ========>  19
('jabong,12.5%on', 'myntra.')  ========>  14
('babe', 'follow')  ========>  8
('(la', 'estar')  ========>  18
('#viña2015', 'girls')  ========>  18
('good', 'night')  ========>  9
('flipkart,12%on', 'upto15%on')  ========>  14
('dream?😍', 'mad')  ========>  8
('!!', 'feeling:')  ========>  14
('#job', '#nursing')  ========>  9
('america', 'latin')  ========>  8
('@madisonellebeer', 'idol')  ========>  9
('**pic', 'heavy**')  ========>  12
('dreams,', 'yourself!')  ========>  25
('10', 'words')  ========>  14
('killing', 'notice')  ========>  19
('#jobs', 'manager')  ========>  7
('cashback', 'myntra.')  ========>  14
('@feriafitur', 'vote')  ========>  28
('photo', 'posted')  ========>  7
('girls', '👉abraham')  ========>  18
('away?', 'knowing?')  ========>  13
('mph', 'temperature')  ========>  11
('away?', 'me?')  ========>  13
('love', 'queen')  ========>  9
('@justinbieber', 'know,')  ========>  13
('#job', 'manager')  ========>  7
('retweet', 'travelblogger')  ========>  28
('follow', 'year,')  ========>  29
('#3', '#getgarytonoonooswedding')  ========>  8
('know,', 'love')  ========>  13
('(la', 'mateo')  ========>  18
('batman,', 'saved')  ========>  13
('birthday', 'happy')  ========>  36
('dreams,', 'follow')  ========>  25
('http://t.co/8tttpri3ag', 'mateo')  ========>  18
('review', 'vendor')  ========>  12
('la):', 'mateo')  ========>  18
('idol', 'queen')  ========>  9
(':)', 'queen')  ========>  9
('me?', 'miles')  ========>  13
('song!', 'yourself!')  ========>  25
('support', 'year,')  ========>  25
('away?', 'know,')  ========>  13
😍😍  ========>  8
('flipkart,12%on', 'snapdeal.')  ========>  14
('#getgarytonoonooswedding', 'days')  ========>  8
('@real_liam_payne', 'stealing')  ========>  19
('indian', 'vendor')  ========>  12
('@justinbieber', 'knowing?')  ========>  13
la  ========>  40
('#viña2015', '(la')  ========>  18
('love', 'words')  ========>  14
('en', 'http://t.co/8tttpri3ag')  ========>  18
('!!', 'hunter".')  ========>  14
('dreams,', 'support')  ========>  25
('girls', 'http://t.co/8tttpri3ag')  ========>  18
('mm.', 'today')  ========>  10
('10', 'letters')  ========>  14
('know,', 'u.')  ========>  13
('miles', '♥♥♥♥how')  ========>  13
(":'(", 'follow')  ========>  8
('"2', 'words')  ========>  14
('love', 'me♥')  ========>  9
rn  ========>  16
('@feriafitur', 'nelsoncarvalheiro')  ========>  28
('mm.', 'temperature')  ========>  9
('en', 'la):')  ========>  18
yo  ========>  11
(',realize', 'dream?😍')  ========>  8
(':)', 'follow')  ========>  9
('away?', 'follow')  ========>  13
('https://t.co/1bds2lfusd', 'support')  ========>  25
('me♥', 'queen')  ========>  9
('killing', 'stealing')  ========>  19
('mm.', 'wind')  ========>  10
('#jobs', 'alert:')  ========>  7
('travelblogger', 'vote')  ========>  28
('away?', 'miles')  ========>  13
('happy', 'make')  ========>  8
('love', 'people')  ========>  10
('@madisonellebeer', 'queen')  ========>  9
('la', 'merese')  ========>  18
('@feriafitur', 'world')  ========>  28
('@justinbieber', 'person')  ========>  13
('follow', 'yourself!')  ========>  25
('"2', 'love')  ========>  14
('@justinbieber', 'miles')  ========>  13
('rain', 'temperature')  ========>  17
('**pic', 'indian')  ========>  12
('nelsoncarvalheiro', 'travelblogger')  ========>  28
('#viña2015', 'en')  ========>  18
('song!', 'support')  ========>  25
('#jobs', 'health')  ========>  7
('flat', 'jabong,12.5%on')  ========>  14
('@justinbieber', '♥♥♥♥how')  ========>  13
('barometer', 'today')  ========>  17
('nelsoncarvalheiro', 'retweet')  ========>  28
('harassed', 'make')  ========>  8
('10', 'love')  ========>  15
('temperature', 'today')  ========>  17
('#gaanaapp', '@gaana')  ========>  11
('@real_liam_payne', 'humbly')  ========>  19
('fantastically', 'hope')  ========>  8
('good', 'morning')  ========>  12
('follow', 'knowing?')  ========>  13
('@justinbieber', '♡')  ========>  8
('email', 'remyexporter@gmail.com')  ========>  12
('2015', 'fitur')  ========>  28
..  ========>  15
('https://t.co/1bds2lfusd', 'year,')  ========>  25
('@feriafitur', 'fitur')  ========>  28
('happy', 'hope')  ========>  7
('@real_liam_payne', 'killing')  ========>  19
('@matthunter123', 'feeling:')  ========>  14
('love', 'smile')  ========>  8
('falling', 'rain')  ========>  7
('humbly', 'killing')  ========>  19
('in.', 'rain')  ========>  7
('2015', 'nelsoncarvalheiro')  ========>  28
('relentlessly', 'tweeted')  ========>  8
('love', '♡')  ========>  8
('@matthunter123', 'letters')  ========>  14
('know,', 'knowing?')  ========>  13
('love', 'you.')  ========>  8
🙏🙏  ========>  14
('#getgarytonoonooswedding', 'relentlessly')  ========>  8
('know,', 'person')  ========>  13
('feeling:', 'love')  ========>  14
('notice', 'ta')  ========>  19
('merese', '👉abraham')  ========>  18
('#getgarytonoonooswedding', 'harassed')  ========>  8
se  ========>  10
('#job', 'alert:')  ========>  10
"2  ========>  13
('@justinbieber', 'follow')  ========>  28
('flat', 'myntra.')  ========>  14
('know,', '♥♥♥♥how')  ========>  13
('en', '👉abraham')  ========>  18
('follow', 'song!')  ========>  25
('10', 'hunter".')  ========>  14
('cashback', 'jabong,12.5%on')  ========>  14
('dreams,', 'https://t.co/1bds2lfusd')  ========>  25
🍃💜  ========>  10
('follow', '❤')  ========>  8
#3  ========>  7
('@justinbieber', 'me?')  ========>  13
❤️  ========>  22
(':)', '@madisonellebeer')  ========>  9
('cashback', 'flat')  ========>  14
('humbly', 'notice')  ========>  19
('otrat', 'screams')  ========>  8
('follow', 'https://t.co/1bds2lfusd')  ========>  25
('feeling:', 'hunter".')  ========>  14
('superhuman', '✌')  ========>  13
('@garybarlow', 'days')  ========>  8
('@matthunter123', 'hunter".')  ========>  14
('hpa,', 'today')  ========>  7
:)  ========>  46
(":'(", 'love')  ========>  8
('#3', 'relentlessly')  ========>  8
em  ========>  10
('letters', 'matt')  ========>  14
('follow', 'important')  ========>  14
('brazil', '😊')  ========>  8
('follow', 'support')  ========>  25
('harassed', 'tweeted')  ========>  8
('cashback', 'of10.5%on')  ========>  14
('@garybarlow', 'harassed')  ========>  8
('princess', '👑')  ========>  15
('support', 'yourself!')  ========>  25
il  ========>  13
di  ========>  27
('humidity', 'rain')  ========>  17
('miles', 'person')  ========>  13
('@justinbieber', 'love')  ========>  30
('@feriafitur', 'travelblogger')  ========>  28
('@garybarlow', 'make')  ========>  8
('idol', 'love')  ========>  9
('http://t.co/8tttpri3ag', 'la')  ========>  18
('#getgarytonoonooswedding', 'make')  ========>  8
('year,', 'yourself!')  ========>  25
('knowing?', '♥♥♥♥how')  ========>  13
('follow', 'pls')  ========>  13
('"2', '@matthunter123')  ========>  14
('letters', 'love')  ========>  14
('!!', 'words')  ========>  14
('2015', 'travelblogger')  ========>  28
('hunter".', 'letters')  ========>  14
('rain', '°c.')  ========>  8
('#job', '#jobs')  ========>  30
('estar', 'la')  ========>  18
ta  ========>  21
('indian', 'review')  ========>  12
('di', 'il')  ========>  7
(':)', 'idol')  ========>  9
('@real_liam_payne', 'idol')  ========>  19
('heavy**', 'review')  ========>  12
('humidity', 'temperature')  ========>  16
('fitur', 'retweet')  ========>  28
('realize', '🙏🙏')  ========>  14
('big', '❤')  ========>  13
('#3', 'harassed')  ========>  8
('love', 'matt')  ========>  14
('love', 'miles')  ========>  13
('happy', 'love')  ========>  7
('ilysfm', '💜')  ========>  35
('know,', 'me?')  ========>  13
('make', 'tweeted')  ========>  8
('estar', 'http://t.co/8tttpri3ag')  ========>  18
('temperature', 'wind')  ========>  17
('**pic', 'review')  ========>  12
('**pic', 'vendor')  ========>  12
('▶', '◀')  ========>  13
('knowing?', 'person')  ========>  13
('#viña2015', 'la):')  ========>  18
('"2', '10')  ========>  14
('(la', 'la):')  ========>  18
('away?', 'love')  ========>  13
!!  ========>  33
('en', 'girls')  ========>  18
('10', '@matthunter123')  ========>  14
;)  ========>  11
('girls', 'la')  ========>  18
('#3', '@garybarlow')  ========>  8
('la', 'mateo')  ========>  18
('https://t.co/1bds2lfusd', 'yourself!')  ========>  25
('barometer', 'rain')  ========>  16
('hpa,', 'humidity')  ========>  7
('"2', 'letters')  ========>  14
('0.0', 'rain')  ========>  7
('days', 'harassed')  ========>  8
('(la', '👉abraham')  ========>  18
('girls', 'mateo')  ========>  18
@…  ========>  7
('dreams,', 'song!')  ========>  25
ya  ========>  16
('dream', 'make')  ========>  8
('love', 'u.')  ========>  14
('di', 'è')  ========>  8
('person', '♥♥♥♥how')  ========>  13
('notice', 'stealing')  ========>  19
('happy', 'support')  ========>  26
('estar', 'mateo')  ========>  18
('today', '°c.')  ========>  8
('http://t.co/8tttpri3ag', 'la):')  ========>  18
('#job', '#veteranjob')  ========>  7
('la):', '👉abraham')  ========>  18
en  ========>  20
('dreams,', 'happy')  ========>  25
('la', 'la):')  ========>  18
('#jobs', '#retail')  ========>  8
(":'(", '@justinbieber')  ========>  8
('2015', '@feriafitur')  ========>  28
('away?', 'u.')  ========>  13
('la):', 'merese')  ========>  18
('love', '♥')  ========>  9
('follow', 'life')  ========>  10
da  ========>  12
('feeling:', 'words')  ========>  14
('mph', 'wind')  ========>  12
('limit!', 'matt')  ========>  14
('2015', 'world')  ========>  28
('america', 'otrat')  ========>  8
('https://t.co/1bds2lfusd', 'song!')  ========>  25
('hunter".', 'words')  ========>  14
('en', 'la')  ========>  18
('@matthunter123', 'limit!')  ========>  14
('(@alejandradextre)', 'follow')  ========>  8
('love', 'me?')  ========>  18
u.  ========>  15
('miles', 'u.')  ========>  13
('#3', 'days')  ========>  8
('@madisonellebeer', 'life')  ========>  9
('knowing?', 'u.')  ========>  13
('!!', '10')  ========>  14
('days', 'tweeted')  ========>  8
('che', 'è')  ========>  7
('away?', 'person')  ========>  13
('#job:', '#jobs')  ========>  11
af  ========>  7
('follow', '♡')  ========>  8
('hpa,', 'wind')  ========>  7
('"@shotsafadin:', '@madisonellebeer')  ========>  11
('!!', 'love')  ========>  16
('!!', 'limit!')  ========>  14
('barometer', '°c.')  ========>  8
('girls', 'merese')  ========>  18
('!!', 'letters')  ========>  14
('estar', 'merese')  ========>  18
('hunter".', 'matt')  ========>  14
('happy', 'https://t.co/1bds2lfusd')  ========>  25
('latin', 'otrat')  ========>  8
('knowing?', 'love')  ========>  13
('follow', 'happy')  ========>  26
ma  ========>  16
('dreams,', 'year,')  ========>  25
('idol', 'notice')  ========>  19
('birthday', 'hope')  ========>  7
('dream', '❤')  ========>  13
('brazil', 'fan')  ========>  8
('follow', 'love')  ========>  53
12  ========>  9
('10', 'matt')  ========>  14
('batman,', 'lifes')  ========>  13
('http://t.co/8tttpri3ag', 'merese')  ========>  18
('@real_liam_payne', 'ta')  ========>  19
"i  ========>  8
('nelsoncarvalheiro', 'world')  ========>  28
('love', '♥♥♥♥how')  ========>  13
('vote', 'world')  ========>  28
('humidity', 'in.')  ========>  7
('happy', 'year,')  ========>  25
('!!', '@matthunter123')  ========>  14
('killing', 'ta')  ========>  19
w/  ========>  17
('humbly', 'ta')  ========>  19
('#getgarytonoonooswedding', '@garybarlow')  ========>  8
('batman,', '💪')  ========>  13
('mm.', 'rain')  ========>  10
('rain', 'wind')  ========>  19
('!!', 'matt')  ========>  14
(":'(", '♡')  ========>  8
('"@shotsafadin:', 'quote')  ========>  11
('(la', 'girls')  ========>  18
('#job:', '#tweetmyjobs')  ========>  8
('barometer', 'mph')  ========>  11
('idol', 'life')  ========>  9
('feeling:', 'matt')  ========>  14
('in.', 'temperature')  ========>  7
('@matthunter123', 'words')  ========>  14
('myntra.', 'of10.5%on')  ========>  14
('barometer', 'wind')  ========>  17
('"2', 'limit!')  ========>  14
('!!', '"2')  ========>  14
('high', 'school')  ========>  8
('lifes', 'saved')  ========>  13
('big', 'fan')  ========>  7
('humidity', 'today')  ========>  17
30  ========>  10
('follow', 'me?')  ========>  59
('@garybarlow', 'relentlessly')  ========>  8
('#3', 'make')  ========>  8
('@matthunter123', 'matt')  ========>  14
('la', '👉abraham')  ========>  18
('letters', 'limit!')  ========>  14
('travelblogger', 'world')  ========>  28
('follow', 'person')  ========>  14
('en', 'estar')  ========>  18
('wind', '°c.')  ========>  8
('matt', 'words')  ========>  14
('amazon,8%', 'upto15%on')  ========>  14
('hope', 'well!')  ========>  8
('follow', 'miles')  ========>  13
('humidity', 'mph')  ========>  11
('10', 'limit!')  ========>  14
('america', 'screams')  ========>  8
('flat', 'of10.5%on')  ========>  14
('heavy**', 'vendor')  ========>  12
('barometer', 'mm.')  ========>  10
('stealing', 'ta')  ========>  19
('#viña2015', 'http://t.co/8tttpri3ag')  ========>  18
('humidity', 'wind')  ========>  18
('#jobs', '#tweetmyjobs')  ========>  28
('@real_liam_payne', 'notice')  ========>  19
('temperature', '°c.')  ========>  8
('@madisonellebeer', 'me♥')  ========>  9
('@justinbieber', 'smile')  ========>  7
15  ========>  14
('estar', 'girls')  ========>  18
('barometer', 'in.')  ========>  7
('#3', 'tweeted')  ========>  8
le  ========>  10
('@garybarlow', 'tweeted')  ========>  8
('nelsoncarvalheiro', 'vote')  ========>  28
('follow', 'know,')  ========>  13
('barometer', 'humidity')  ========>  17
('jabong,12.5%on', 'of10.5%on')  ========>  14
